DATE,HIJRI,DAY,FAJR.STARTS,SUNRISE.STARTS,DHUHUR.STARTS,ASR.STARTS,ISHA.STARTS,FAJR.JAMAAT,DHUHUR.JAMAAT,ASR.JAMAAT,MAGHRIB.JAMAAT,ISHA.JAMAAT
01,13,Fri,06:27,08:02,11:59,14:06,17:30,07:00,13:00,14:30,15:56,18:45
02,14,Sat,06:28,08:03,11:59,14:05,17:30,07:00,12:45,14:30,15:55,18:45
03,15,Sun,06:29,08:05,11:59,14:05,17:30,07:00,12:45,14:30,15:55,18:45
04,16,Mon,06:30,08:06,12:00,14:04,17:29,07:00,12:45,14:30,15:54,18:45
05,17,Tue,06:31,08:08,12:00,14:04,17:29,07:00,12:45,14:30,15:54,18:45
06,18,Wed,06:32,08:09,12:01,14:03,17:29,07:00,12:45,14:30,15:53,18:45
07,19,Thu,06:33,08:10,12:01,14:03,17:29,07:00,12:45,14:30,15:53,18:45
08,20,Fri,06:34,08:11,12:01,14:03,17:29,07:00,13:00,14:30,15:52,18:45
09,21,Sat,06:35,08:13,12:02,14:03,17:28,07:00,12:45,14:30,15:52,18:45
10,22,Sun,06:36,08:14,12:02,14:02,17:28,07:00,12:45,14:30,15:52,18:45
11,23,Mon,06:36,08:14,12:02,14:02,17:28,07:00,12:45,14:30,15:52,18:45
12,24,Tue,06:38,08:16,12:03,14:02,17:29,07:00,12:45,14:30,15:52,18:45
13,25,Wed,06:39,08:17,12:04,14:02,17:29,07:00,12:45,14:30,15:52,18:45
14,26,Thu,06:40,08:18,12:04,14:02,17:29,07:00,12:45,14:30,15:52,18:45
15,27,Fri,06:40,08:19,12:05,14:03,17:29,07:00,13:00,14:30,15:52,18:45
16,28,Sat,06:41,08:19,12:05,14:03,17:29,07:00,12:45,14:30,15:52,18:45
17,29,Sun,06:42,08:20,12:06,14:03,17:30,07:00,12:45,14:30,15:52,18:45
18,30,Mon,06:42,08:21,12:06,14:03,17:30,07:00,12:45,14:30,15:52,18:45
19,01,Tue,06:43,08:21,12:07,14:04,17:30,07:00,12:45,14:30,15:53,18:45
20,02,Wed,06:44,08:22,12:07,14:04,17:31,07:00,12:45,14:30,15:53,18:45
21,03,Thu,06:44,08:23,12:08,14:05,17:31,07:00,12:45,14:30,15:54,18:45
22,04,Fri,06:45,08:23,12:08,14:05,17:32,07:00,13:00,14:30,15:54,18:45
23,05,Sat,06:45,08:24,12:09,14:06,17:32,07:00,12:45,14:30,15:55,18:45
24,06,Sun,06:45,08:24,12:09,14:06,17:33,07:00,12:45,14:30,15:56,18:45
25,07,Mon,06:46,08:24,12:10,14:07,17:34,07:00,12:45,14:30,15:56,18:45
26,08,Tue,06:46,08:24,12:10,14:08,17:34,07:00,12:45,14:30,15:56,18:45
27,09,Wed,06:46,08:25,12:11,14:09,17:35,07:00,12:45,14:30,15:58,18:45
28,10,Thu,06:46,08:25,12:11,14:09,17:36,07:00,12:45,14:30,15:59,18:45
29,11,Fri,06:46,08:25,12:12,14:10,17:37,07:00,13:00,14:30,16:00,18:45
30,12,Sat,06:46,08:25,12:12,14:11,17:38,07:00,12:45,14:30,16:01,18:45
31,13,Sun,06:46,08:25,12:13,14:12,17:39,07:00,12:45,14:30,16:03,18:45
